,country,city,city_entityId,skyId,entityId,airport_name
101,belgium,Kortrijk,27543873,KJK,129057114,Kortrijk
102,cuba,Havana,39872731,HAV,99539626,Havana
103,cuba,Santiago,27546281,SCU,128668993,Santiago
104,cuba,Varadero,27547428,VRA,99539627,Varadero
105,cuba,Holguin,27542691,HOG,128668635,Holguin
106,cuba,Cayo Coco,81971976,CCC,128668364,Cayo Coco
107,cuba,Santa Clara,27547050,SNU,128667062,Santa Clara
108,cuba,Bayamo,27539660,BYM,128668355,Bayamo
109,colombia,Bogota,27539515,BOG,95673344,Bogota
110,colombia,Medellin,27540944,MDE,95673419,José María Córdova International
111,colombia,Medellin,27540944,EOH,95673418,Medellin Enrique Olaya Herrera
112,colombia,Cartagena,27540568,CTG,95673470,Cartagena
113,colombia,Cali,27539833,CLO,95673404,Cali
114,colombia,Acandi,27547472,ACD,128668049,Acandi
115,morocco,Casablanca,27539689,CMN,95673387,Casablanca Mohamed V.
116,morocco,Marrakech,27546125,RAK,95673588,Marrakech Menara
117,morocco,Rabat,27546128,RBA,95673388,Rabat
118,morocco,Agadir,27536479,AGA,95673640,Agadir
119,morocco,Tangier,27547220,TNG,128668513,Tangier Ibn Battouta
120,morocco,Fes,27541643,FEZ,128668578,Fes-Saïss
121,morocco,Goulimime,46387648,GLN,128667271,Goulimime
122,south africa,Cape Town,27539908,CPT,95673380,Cape Town
123,south africa,Johannesburg,27541777,JNB,95673415,Johannesburg O.R. Tambo
124,south africa,Johannesburg,27541777,HLA,95673416,Lanseria
125,south africa,Hoedspruit,27541767,HDS,128668619,Hoedspruit
126,south africa,Durban,27540830,DUR,95673389,Durban King Shaka International
127,south africa,Phalaborwa,27550902,PHW,128668929,Phalaborwa
128,madagascar,Antananarivo,27547225,TNR,104120228,Antananarivo
129,madagascar,Fasenina-Ampasy,45097407,NOS,128668673,Nossi-be
130,madagascar,Morondava,27549297,MOQ,128668845,Morondava
131,madagascar,Sainte Marie,192465927,SMS,128669017,Sainte Marie
132,madagascar,Fort Dauphin,27541733,FTU,128668086,Fort Dauphin
133,madagascar,Maroantsetra,27551093,WMN,128667667,Maroantsetra
134,madagascar,Sambava,27550316,SVB,128669031,Sambava
135,new zealand,Auckland,27536526,AKL,95673805,Auckland International
136,new zealand,Christchurch,27539784,CHC,95673841,Christchurch
137,new zealand,Queenstown,27537522,ZQN,104120283,Queenstown
138,new zealand,Wellington,27536222,WLG,128668499,Wellington
139,new zealand,Nelson,27545157,NSN,128667093,Nelson
140,new zealand,Dunedin,27540825,DUD,128668336,Dunedin
141,new zealand,Hamilton,27542082,HLZ,128668318,Hamilton
